des,name,diameter_m,diameter_estimated,vi_datetime_utc,ip_max,ps_max,vel_km_s,years_range,ip_cum,ps_cum,date,mjd,sigma,sigimp,dist_re,width_re,stretch_re,p_re,exp_energy_mt,ps,ts
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2072-09-08.565,78093.565,3.675,0.0,6.49,0.004,12300.0,4.51e-07,1.07,-6.49,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2072-09-13.686,78098.686,3.844,0.0,2.12,0.01,2340.0,1.7e-06,1.07,-5.91,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2073-02-01.765,78239.765,0.835,0.0,5.86,0.003,302000.0,1.19e-05,1.07,-5.07,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2073-02-09.148,78247.148,-1.642,0.0,7.95,0.004,138000.0,9.13e-06,1.07,-5.18,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2073-02-12.021,78250.021,-1.599,0.0,5.43,0.002,115000.0,1.28e-05,1.07,-5.04,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2074-01-28.509,78600.509,0.836,0.0,5.91,0.0,1100000.0,3.24e-06,1.07,-5.64,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2074-02-08.478,78611.478,0.845,0.0,5.17,0.002,111000.0,3.43e-05,1.07,-4.61,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2074-02-10.464,78613.464,0.884,0.0,7.28,0.004,64700.0,3.59e-05,1.07,-4.6,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2078-09-06.792,80282.792,-1.532,0.0,7.03,0.0,5140000.0,3.69e-07,1.07,-6.62,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2079-09-04.799,80645.799,0.98,0.0,4.77,0.0,8380000.0,4.29e-07,1.07,-6.56,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2079-09-04.821,80645.821,0.98,0.0,4.9,0.0,8170000.0,4.37e-07,1.07,-6.56,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2079-09-07.410,80648.41,0.974,0.0,6.75,0.032,7540000.0,3.16e-07,1.07,-6.7,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2079-09-08.802,80649.802,-1.529,0.0,6.35,0.0,3540000.0,4.17e-07,1.07,-6.58,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2080-09-06.666,81013.666,0.984,0.0,5.53,0.0,16300000.0,1.82e-07,1.07,-6.94,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2081-08-30.225,81371.225,3.667,0.0,7.85,0.179,17900000.0,3.81e-10,1.07,-9.63,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2081-09-01.277,81373.277,3.828,0.0,6.23,0.0,6880000.0,4.53e-10,1.07,-9.56,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2081-09-02.863,81374.863,0.944,0.0,7.28,0.0,9180000.0,2.73e-07,1.07,-6.78,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2081-09-07.509,81379.509,0.987,0.0,3.14,0.0,2770000.0,1.33e-06,1.08,-6.09,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2081-09-10.084,81382.084,-1.523,0.0,5.49,0.0,5290000.0,3e-07,1.07,-6.73,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2081-09-11.531,81383.531,-3.717,0.0,7.03,0.05,5430000.0,7.22e-10,1.07,-9.35,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2082-09-07.452,81744.452,0.991,0.0,2.33,0.089,13500000.0,2.81e-07,1.07,-6.77,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2083-09-03.715,82105.715,0.941,0.0,7.02,0.0,4130000.0,5.73e-07,1.07,-6.47,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2083-09-05.068,82107.068,3.888,0.0,1.41,0.089,46300000.0,7.19e-11,1.07,-10.37,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2083-09-09.214,82111.214,-1.517,0.0,3.28,0.035,2960000.0,6.46e-07,1.07,-6.42,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2084-09-02.812,82470.812,0.939,0.0,5.63,0.0,7770000.0,4.45e-07,1.07,-6.59,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2084-09-06.162,82474.162,0.998,0.0,5.87,0.022,2930000.0,1.17e-06,1.07,-6.16,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2084-09-08.633,82476.633,-1.514,0.0,6.42,0.022,5340000.0,3.18e-07,1.07,-6.73,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2085-08-30.747,82832.747,0.809,0.0,8.06,0.089,14200000.0,1.82e-07,1.07,-6.98,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2085-09-03.160,82836.16,0.938,0.0,5.69,0.0,2790000.0,1.59e-06,1.07,-6.04,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2085-09-05.314,82838.314,3.899,0.0,3.77,0.002,7020000.0,4.3e-10,1.07,-9.61,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2085-09-06.882,82839.882,1.002,0.0,0.41,2.863,474000000.0,7.88e-09,1.07,-8.34,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2086-08-31.601,83198.601,0.808,0.0,7.79,0.0,12400000.0,1.35e-07,1.07,-7.12,0
