sigma_vi,id,des,ps,ts,method,energy,ip,fullname,sigma_mc,date
0.6267,bK16T00M,2016 TM,-8.64,0,IOBS,2.776e-02,1.149e-07,(2016 TM),,2120-06-12.69
2.0934,bK16T00M,2016 TM,-10.22,0,IOBS,2.783e-02,2.919e-09,(2016 TM),,2117-06-13.96
2.5139,bK16T00M,2016 TM,-8.07,0,IOBS,2.786e-02,3.048e-07,(2016 TM),,2093-06-10.91
0.1028,bK16T00M,2016 TM,-8.94,0,IOBS,2.777e-02,3.650e-08,(2016 TM),,2085-06-23.82
0.7612,bK16T00M,2016 TM,-8.63,0,IOBS,2.775e-02,6.335e-08,(2016 TM),,2076-06-08.34
1.0957,bK20V05B,2020 VB5,-5.00,0,IOBS,6.330e-02,3.240e-05,(2020 VB5),,2037-11-17.69
0.4805,bK24Y00P,2024 YP,-8.75,0,IOBS,5.858e-02,4.913e-08,(2024 YP),,2120-12-26.84
1.3234,bK21D00G,2021 DG,-6.34,0,IOBS,1.342e-03,1.268e-04,(2021 DG),,2072-02-19.57
1.7770,bK21L00Q,2021 LQ,-5.80,0,IOBS,9.093e+00,7.125e-07,(2021 LQ),,2112-05-29.77
2.8324,bK25D04Z,2025 DZ4,-7.83,0,IOBS,1.198e-01,7.906e-08,(2025 DZ4),,2058-02-18.34
2.1539,bK23X14M,2023 XM14,-6.31,0,IOBS,1.047e+01,1.778e-07,(2023 XM14),,2105-10-30.85
0.0867,bK22U21A,2022 UA21,-8.79,0,IOBS,2.951e-03,4.503e-07,(2022 UA21),,2113-10-26.76
0.0872,bK22U21A,2022 UA21,-8.96,0,IOBS,2.946e-03,2.917e-07,(2022 UA21),,2108-10-25.60
1.5395,bK22U14Y,2022 UY14,-4.05,0,IOBS,2.840e+00,2.085e-05,(2022 UY14),,2043-04-28.93
1.7058,bK24C08N,2024 CN8,-9.64,0,IOBS,3.496e-03,6.266e-08,(2024 CN8),,2123-11-19.24
1.1414,bK23G00X,2023 GX,-7.00,0,IOBS,1.024e-01,1.809e-06,(2023 GX),,2122-04-05.16
